enode://7c0a476457d15160371fdb29fd140f692372d03753bffbe73115acb252ec0f46d359f326962870b0603963f23edde015971d16694d1e0a763999bddeaa052874@127.0.0.1:0?discport=30301
Note: you're using cmd/bootnode, a developer tool.
We recommend using a regular node as bootstrap node for production deployments.
INFO [04-29|15:08:05.406] New local node record                    seq=1,714,370,885,405 id=e8c530c4013c4afa ip=<nil> udp=0 tcp=0
TRACE[04-29|15:08:12.490] << PING/v4                               id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:12.490] >> PONG/v4                               id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:12.490] >> PING/v4                               id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:12.490] << PING/v4                               id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:12.490] >> PONG/v4                               id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:12.490] >> PING/v4                               id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:12.490] << PONG/v4                               id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:12.490] << PONG/v4                               id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:12.517] << PING/v4                               id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:12.517] >> PONG/v4                               id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:12.517] >> PING/v4                               id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:12.517] << PING/v4                               id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:12.517] >> PONG/v4                               id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:12.518] >> PING/v4                               id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:12.518] << PING/v4                               id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:12.518] >> PONG/v4                               id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:12.518] >> PING/v4                               id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:12.518] << PING/v4                               id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:12.518] >> PONG/v4                               id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:12.518] >> PING/v4                               id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:12.518] << PONG/v4                               id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:12.518] << PONG/v4                               id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:12.518] << PONG/v4                               id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:12.518] << PONG/v4                               id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:12.992] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:12.992] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:12.993] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:12.993] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:13.019] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:13.019] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:13.020] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:13.020] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:13.020] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:13.021] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:13.021] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:13.021] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:13.851] >> PING/v4                               id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:13.852] << PONG/v4                               id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:13.852] >> ENRREQUEST/v4                         id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:13.854] << ENRRESPONSE/v4                        id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
DEBUG[04-29|15:08:13.854] Revalidated node                         b=14 id=c9b518dc643b4e9e checks=1
TRACE[04-29|15:08:14.497] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:14.497] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:14.499] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:14.499] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:14.524] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:14.525] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:14.525] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:14.526] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:14.526] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:14.526] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:14.526] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:14.526] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:14.998] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:14.998] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:15.000] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:15.000] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:15.025] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:15.025] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:15.027] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:15.027] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:15.027] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:15.028] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:15.028] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:15.028] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:15.498] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:15.499] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:15.500] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:15.501] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:15.525] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:15.526] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:15.528] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:15.528] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:15.528] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:15.528] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:15.528] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
